id,employee_id,last_appraisal_score,appraised_by
325,525,10,Head of Business
326,526,9,Head of Department
327,527,10,Head of Business
328,528,10,Head of Human Resources
329,529,10,Head of Human Resources
330,530,8,Head of Business
331,531,10,Head of Human Resources
332,532,9,Head of Department
333,533,10,Head of Human Resources
334,534,9,Head of Human Resources
335,535,7,Head of Human Resources
336,536,10,Head of Business
337,537,6,Head of Business
338,538,7,Head of Human Resources
339,539,6,Head of Human Resources
340,540,10,Head of Department
341,541,6,Head of Human Resources
342,542,8,Head of Department
343,543,7,Head of Human Resources
344,544,8,Head of Department
345,545,9,Head of Department
346,546,7,Head of Human Resources
347,547,8,Head of Business
348,548,8,Head of Department
349,549,6,Head of Human Resources
350,550,6,Head of Human Resources
351,551,10,Head of Human Resources
352,552,6,Head of Department
353,553,9,Head of Human Resources
354,554,9,Head of Human Resources
355,555,6,Head of Human Resources
356,556,7,Head of Business
357,557,10,Head of Business
358,558,6,Head of Department
359,559,6,Head of Business
361,561,7,Head of Department
362,562,8,Head of Human Resources
363,563,7,Head of Human Resources
364,564,10,Head of Business
365,565,10,Head of Business
366,566,6,Head of Department
367,567,7,Head of Department
368,568,8,Head of Human Resources
369,569,10,Head of Department
370,570,7,Head of Human Resources
371,571,9,Head of Department
372,572,6,Head of Human Resources
373,573,8,Head of Human Resources
374,574,8,Head of Human Resources
375,575,10,Head of Business
376,576,6,Head of Human Resources
377,577,10,Head of Department
378,578,9,Head of Human Resources
379,579,9,Head of Human Resources
380,580,6,Head of Business
381,581,8,Head of Human Resources
382,582,7,Head of Department
383,583,8,Head of Human Resources
384,584,8,Head of Human Resources
385,585,6,Head of Department
386,586,10,Head of Business
387,587,10,Head of Department
388,588,10,Head of Human Resources
389,589,7,Head of Human Resources
390,590,8,Head of Business
391,591,9,Head of Business
392,592,8,Head of Human Resources
393,593,10,Head of Business
394,594,10,Head of Department
395,595,9,Head of Department
396,596,9,Head of Business
397,597,6,Head of Business
398,598,10,Head of Human Resources
399,599,6,Head of Department
400,600,9,Head of Business
401,601,8,Head of Human Resources
402,602,10,Head of Business
403,603,9,Head of Department
404,604,6,Head of Department
405,605,8,Head of Business
406,606,6,Head of Human Resources
407,607,7,Head of Human Resources
408,608,9,Head of Business
409,609,10,Head of Department
410,610,7,Head of Business
411,611,9,Head of Department
412,612,7,Head of Business
414,614,7,Head of Business
415,615,7,Head of Business
416,616,8,Head of Human Resources
417,617,9,Head of Department
418,618,8,Head of Department
